post_id,post_message,titulo_facebook
71339054219_10153119169264220,"#Humor | La foto que habla  por Nik",NULL
71339054219_10153119169579220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153119169864220,"#Humor | Humor Petiso  por Diego Parés",NULL
71339054219_10153119246624220,"Mirá los 3 tantos que Club Atlético River Plate le convirtió a TigresOficial en la final de la Copa Libertadores.","Así fueron los goles del nuevo campeón de América"
71339054219_10153119321629220,"LA NACION shared a link.","Los mejores tuits, memes y afiches de River campeón"
71339054219_10153119399004220,"Un testigo del incidente de Chano Moreno Charpentier","Estaba reloco y no paraba la camioneta"
71339054219_10153119544844220,"La promesa del capitán si ganaban la Copa Libertadores","¿Qué le dijo Cavenaghi a Carlos Sánchez antes del penal?"
71339054219_10153119621089220,"El emotivo relato de la consagración de Club Atlético River Plate como campeón de América [http://a.ln.com.ar/1IZ6EQd]",NULL
71339054219_10153119694434220,"Del agente bailarín a la bandera de Vangioni contra  BOCA","Las curiosidades del festejo de River"
71339054219_10153119796434220,"#ConversacionesLN La de Mauricio Macri relató cómo vive la política desde cerca. [http://a.ln.com.ar/1T7qWqq]",NULL
71339054219_10153119798559220,"#ConversacionesLN La diputada nacional analizó el impacto político de la denuncia contra Aníbal Fernandez. [http://a.ln.com.ar/1gehK6P]",NULL
71339054219_10153119857514220,"#ConversacionesLN la cantante contó cómo se convirtió en una de las divas de la música argentina. [http://a.ln.com.ar/1UqxYZF]",NULL
71339054219_10153119871114220,"Mirá lo que se puso Emilia Attias  ¿qué te pareció? [http://a.ln.com.ar/1IKv89C]",NULL
71339054219_10153119921889220,"6 recetas dulces y muy fáciles de hacer  ideales para sorprender a tus amigos o a tu familia con sabores originales y otros más clásicos. [http://a.ln.com.ar/1IKvFZc]",NULL
71339054219_10153120379764220,#FlashesDeportivos,"El rugbier que se lleva todo por delante, el mal tiro del día y la diosa es escaladora"
71339054219_10153120558639220,"Imágenes de alta resolución","Las fotos más espectaculares de Plutón que tomó la sonda New Horizons"
71339054219_10153120668819220,"Mirá el video del escándalo","Así atacaron los vecinos de Belgrano a Chano Charpentier"
71339054219_10153120944924220,"¿Dónde se lo hizo?","Candelaria Tinelli mostró su nuevo tatuaje"
71339054219_10153121043109220,"Cristina Fernandez de Kirchner dejó un mensaje  a los próximos gobiernos  y les dijo:  les vamos a dejar un país mucho mejor que el que nos tocó recibir","Sobre el filo de la veda, Cristina Kirchner tuiteó un video con la consigna: "No fue magia""
71339054219_10153121057094220,"LA NACION shared a link.","Un elefante bebé que persigue golondrinas, para olvidar el mal trago de de Cecil, el león"
71339054219_10153121202254220,"LA NACION shared a link.","Canción de Michael Jackson cantada en quechua revoluciona las redes"
71339054219_10153121390379220,"LA NACION shared a link.","Del Colón a la villa 31, imágenes 360 de Buenos Aires desde el aire"
71339054219_10153121711564220,"#Humor | La foto que habla  por Nik",NULL
71339054219_10153121712124220,"#Humor | Son Cosas Mías  por Carbo",NULL
71339054219_10153121712419220,"#Humor | Humor Petiso  por Diego Parés",NULL
71339054219_10153121712804220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153121716259220,"LA NACION shared a link.","¿Cuál fue la pregunta de Karina Rabolini que incomodó a Daniel Scioli?"
71339054219_10153122021199220,"#ConversacionesLN el precandidato a gobernador bonaerense del GEN habló sobre la alianza opositora liderada por Mauricio Macri  Elisa Lilita Carrió y Ernesto Sanz.  [http://a.ln.com.ar/1IvxFFt]",NULL
71339054219_10153122226639220,"#ConversacionesLN El abogado penalista se refirió a la situación actual del país en materia de corrupción. [http://a.ln.com.ar/1MVTzXP]",NULL
71339054219_10153122285664220,"Entrá y hacé tu consulta","Ya se puede ver el registro de infractores que no votaron en elecciones pasadas"
71339054219_10153122700129220,"LA NACION shared a link.","Mauricio Macri le ganó a Daniel Scioli la batalla de Twitter"
71339054219_10153122744854220,"LA NACION shared a link.","River en japonés: mirá las camisetas que usará para la Suruga Bank"
71339054219_10153123036554220,"LA NACION shared a link.","Tom Hardy, una estrella de Hollywood suelta en San Telmo"
71339054219_10153123225274220,"LA NACION shared a link.","Video: vecinos intentaron linchar a un presunto ladrón en Recoleta"
71339054219_10153123412659220,"LA NACION shared a link.","Mirá un adelanto de Vynil, la serie de Martin Scorsese y Mick Jagger"
71339054219_10153123619634220,"#Humor | La foto que habla  por Nik",NULL
71339054219_10153123619969220,"#Humor | Macanudo  por Ricardo Siri Liniers",NULL
71339054219_10153124417634220,"20 maneras de perfumar tu pelo [http://a.ln.com.ar/1MStWbf]",NULL
71339054219_10153124418254220,"Las mejor vestidas de las series Los looks de las protagonistas de las series nominadas a Mejor Vestuario en los premios Emmy [http://a.ln.com.ar/1KUSMUL]","EE.UU: incautaron 8 toneladas de cocaína ocultas en un submarino"
71339054219_10153124487509220,"LA NACION shared a link.","¿Dónde voto?: consultá el padrón para las elecciones de mañana"
71339054219_10153124549519220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153124550339220,"#Humor | Humor Petiso  por Diego Parés",NULL
71339054219_10153124628944220,"Los míticos jugadores del  65 cantaron junto a los actuales jugadores","El emocionante Himno Argentino en Sudáfrica, con los Pumas de ayer y hoy"
71339054219_10153124775374220,"Narcos: lo que tenés que saber antes del estreno de la nueva serie de Netflix [http://a.ln.com.ar/1DD2ifu]",NULL
71339054219_10153124780964220,"¿Cómo ayudar en el Día del niño? Distintas propuestas para ayudar a quienes más hacen por los chicos [http://a.ln.com.ar/1Dy4KnO]",NULL
71339054219_10153124788589220,"10 cosas que tenés que saber sobre el maquillaje [http://a.ln.com.ar/1KXzvVB]",NULL
71339054219_10153124830744220,"LA NACION shared a link.","¿Cuáles son los documentos que sirven para votar?"
71339054219_10153125034584220,"LA NACION shared a link.","Mirá la avivada de Juani Hernández y el try de Imhoff que ni la TV llegó a captar en vivo"
71339054219_10153125121099220,"LA NACION shared a link.","Promesa cumplida: el tatuaje que se hizo Cavenaghi levantando la Copa Libertadores"
71339054219_10153125292259220,"LA NACION shared a link.","Las imágenes más impactantes de las consecuencias del temporal"
71339054219_10153126072294220,"#Humor | La foto que habla  por Nik",NULL
71339054219_10153126095064220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153126126074220,"¿Dónde voto? #Elecciones2015","Consultá el padrón para saber adónde ir a votar"
71339054219_10153126188224220,"Fernando Niembro candidato a diputado nacional por Cambiemos  denunció robo de boletas en la escuela n°66 de La Matanza",NULL
71339054219_10153126365664220,"Mirá quién acapara las conversaciones en el mundo online durante las PASO","Mapa interactivo: la pulseada de los candidatos en las redes sociales"
71339054219_10153127075974220,"La ambición se alimenta de todo  hasta de otras ambiciones   Susan Sontag  por Pablo Bernasconi",NULL
71339054219_10153127446674220,"El El Mago sin Dientes  se animó a hablar con la prensa en el búnker de Cambiemos",NULL
71339054219_10153127474129220,"LA NACION shared a link.","La novia de la juventud del Che Guevara fue fiscal en las elecciones de hoy"
71339054219_10153127552614220,"#Elecciones2015 Margarita Stolbizer salió a celebrar su performance en las PASO. [http://a.ln.com.ar/1N2gRLK]",NULL
71339054219_137609472955834,"Las repercusiones de la noticia en la prensa mundial http://bit.ly/9C9hJ6",NULL
71339054219_149363678502652,"[¿QUE HARIAS?]  La semana pasada mi cuñado me pidió $5000 prestados  Conocé el caso  y decinos qué decisión tomarías en este caso","Hablemos de dinero: Préstamos familiares"
71339054219_161751947180580,"Lo que hay que saber antes de salir de casa http://bit.ly/cIHBxS",NULL
71339054219_162807790406225,"Lo que hay que saber antes de volver a casa http://bit.ly/90bNJ5",NULL
71339054219_291315630911024,"En este segundo mandato  ¿qué le pedirías a la Presidenta?","Qué le piden los lectores a la Presidenta"
